transaction_id,amount,currency,value_date,narrative,reference_number
TXN001,1500.00,USD,2024-01-15,WIRE TRANSFER - ACME CORP,REF-2024-001
TXN002,250.75,USD,2024-01-15,POS PURCHASE - VENDOR A,REF-2024-002
TXN003,10000.00,USD,2024-01-16,ACH CREDIT - PAYROLL,REF-2024-003
TXN004,75.50,USD,2024-01-16,CARD PAYMENT - FUEL STATION,REF-2024-004
TXN005,3200.00,USD,2024-01-17,WIRE TRANSFER - BETA LLC,REF-2024-005
TXN006,180.00,USD,2024-01-17,SUBSCRIPTION - CLOUD SVC,REF-2024-006
TXN007,4500.00,USD,2024-01-18,CHECK DEPOSIT,REF-2024-007
TXN008,92.30,USD,2024-01-18,POS PURCHASE - OFFICE SUPPLY,REF-2024-008
TXN009,15000.00,USD,2024-01-19,WIRE TRANSFER - GAMMA INC,REF-2024-009
TXN010,500.00,USD,2024-01-19,CASH WITHDRAWAL,REF-2024-010
TXN011,330.00,USD,2024-01-20,UTILITY PAYMENT - ELECTRIC,REF-2024-011
TXN012,1200.00,USD,2024-01-20,WIRE TRANSFER - DELTA CO,REF-2024-012
