txn_ref,net_amount,currency,posting_date,description,external_ref
RPT-AA1,1500.00,USD,2024-01-15,WIRE TFR ACME CORP,REF-2024-001
RPT-AA2,250.75,USD,2024-01-15,POS VENDOR A,REF-2024-002
RPT-AA3,10000.00,USD,2024-01-16,ACH PAYROLL CREDIT,REF-2024-003
RPT-AA4,75.51,USD,2024-01-16,CARD FUEL STATION,REF-2024-004
RPT-AA5,3200.00,USD,2024-01-18,WIRE BETA LLC,REF-2024-005
RPT-AA6,180.00,USD,2024-01-17,CLOUD SUBSCRIPTION,REF-2024-006
RPT-AA7,4500.00,USD,2024-01-18,CHECK DEP,REF-2024-007
RPT-AA8,92.30,USD,2024-01-18,OFFICE SUPPLIES POS,REF-2024-008
RPT-AA9,15000.00,USD,2024-01-19,WIRE GAMMA INC,REF-2024-009
RPT-AA11,330.00,USD,2024-01-20,ELECTRIC UTILITY PMT,REF-2024-011
RPT-AA12,1250.00,USD,2024-01-20,WIRE DELTA CO,REF-2024-012
